src_ip,src_port,dst_ip,dst_port,handshake_rtt,data_rtt,packets,bytes,throughput,duplicate
1711319232,5642,2400880173,50823,0.000000,0.000000,10,752,12.53,2
2400880173,55251,1711319232,5642,0.000055,1756631283.833702,50,11006,183.43,2
2400880173,59498,1711319232,5642,0.000015,1756631286.200476,48,10938,182.30,2
2400880173,4783,1711319232,5642,0.000024,1756631288.586361,48,10906,181.77,2
2400880173,9081,1711319232,5642,0.000008,1756631290.964858,48,10938,182.30,2
2400880173,13573,1711319232,5642,0.000010,1756631293.342752,50,10964,182.73,2
2400880173,17948,1711319232,5642,0.000056,1756631295.754600,48,10938,182.30,2
1711319232,63833,1565639459,443,0.000000,1756631299.698549,6,302,5.03,2
2400880173,22301,1711319232,5642,0.000231,1756631298.198735,52,11106,185.10,2
2400880173,26688,1711319232,5642,0.000007,1756631300.555533,48,10938,182.30,2
2400880173,30998,1711319232,5642,0.000010,1756631302.960485,48,10906,181.77,2
2400880173,35349,1711319232,5642,0.000073,1756631305.314737,48,10938,182.30,2
2400880173,39704,1711319232,5642,0.000067,1756631307.659895,48,10906,181.77,2
2400880173,44116,1711319232,5642,0.000019,1756631310.000891,48,10938,182.30,2
2400880173,48488,1711319232,5642,0.000015,1756631312.339384,48,10906,181.77,2
83929280,52374,195935508,443,0.134343,1756631315.352763,28,18314,305.23,2
83929280,36434,1286389012,443,0.133964,1756631315.849803,28,15052,250.87,2
2400880173,52665,1711319232,5642,0.000055,1756631314.670305,48,10938,182.30,2
83929280,52934,1430333972,443,0.196886,1756631317.667594,26,18740,312.33,2
2400880173,56999,1711319232,5642,0.000010,1756631317.011117,48,10906,181.77,2
83929280,52272,95272212,443,0.135023,0.136708,28,22400,373.33,2
2400880173,2621,1711319232,5642,0.000009,0.000252,50,11026,183.77,2
2400880173,7071,1711319232,5642,0.000009,0.001638,50,10994,183.23,2
83929280,41764,2868737075,443,0.220059,0.219896,36,30294,504.90,2
2400880173,11736,1711319232,5642,0.000008,1756631324.261089,48,10938,182.30,2
1257663245,443,83929280,59058,0.000000,0.000000,6,480,8.00,1
1711319232,58585,286396706,443,0.263502,1756631322.682009,66,22736,378.93,2
83929280,51742,376590988,443,0.245767,0.004578,38,22674,377.90,2
2400880173,16431,1711319232,5642,0.000007,1756631326.675004,48,10906,181.77,2
2400880173,20803,1711319232,5642,0.000058,1756631329.031656,48,10938,182.30,2
83929280,46410,376525452,443,0.244615,0.244914,50,41560,692.67,2
2400880173,25200,1711319232,5642,0.000073,1756631331.375382,52,11106,185.10,2
2400880173,29509,1711319232,5642,0.000019,1756631333.723679,48,10938,182.30,2
2400880173,33923,1711319232,5642,0.000010,1756631336.068432,48,10906,181.77,2
2400880173,38507,1711319232,5642,0.000007,1756631338.399392,48,10938,182.30,2
2400880173,42971,1711319232,5642,0.000011,1756631340.758822,48,10906,181.77,2
83929280,60160,4126525460,443,0.008832,0.008047,52,23154,385.90,2
2400880173,47261,1711319232,5642,0.000010,1756631343.110900,48,10938,182.30,2
2400880173,51720,1711319232,5642,0.000084,1756631345.458623,48,10906,181.77,2
2400880173,55994,1711319232,5642,0.000053,1756631347.798539,48,10938,182.30,2
2400880173,1373,1711319232,5642,0.000010,1756631350.155516,48,10906,181.77,2
2400880173,5923,1711319232,5642,0.000008,1756631352.549874,48,10938,182.30,2
83929280,51208,1560636173,443,0.029280,1756631351.158883,40,19636,327.27,2
83929280,53676,424225300,443,0.200322,1756631355.205762,26,18680,311.33,2
2400880173,10522,1711319232,5642,0.000008,1756631354.968388,48,10906,181.77,2
83929280,56784,1480665620,443,0.199438,1756631358.633504,26,17844,297.40,2
2400880173,14995,1711319232,5642,0.000012,1756631357.377698,48,10938,182.30,2
2400880173,19211,1711319232,5642,0.000009,1756631359.741001,48,10906,181.77,2
1711319232,57352,2323198487,443,0.000000,1756631362.485745,12,604,10.07,2
2400880173,23732,1711319232,5642,0.000009,1756631362.184717,48,10938,182.30,2
2400880173,28332,1711319232,5642,0.000054,1756631364.573614,48,10906,181.77,2
2400880173,32643,1711319232,5642,0.000008,1756631366.927638,48,10938,182.30,2
2400880173,37398,1711319232,5642,0.000081,0.000319,50,10994,183.23,2
2400880173,41953,1711319232,56
